SN,YEAR,QTR,MONTH,PROJECT_CODE,PROJECT_NAME,ACCOUNT_NAME,PRACTICE_AREA,BU,B_ TYPE,REGION_COUNTRY,ENTITY_INDIA_US,TOTAL_RESOURCES,TOTAL_REVENUE,TOTAL_DIRECT_COST,NET_MARGIN,EBIDTA
992,2023-24,Q2,01/08/27,SP300101,Software Product Traded LicePMB -PMB-Azul Platform Licence,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,2.90,-2.90,-2.90
993,2023-24,Q2,01/09/27,SP300102,Software Products -PMB-Dataswitch Licence,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,-54.83,-34.59,-20.24,-20.24
994,2023-24,Q2,01/10/27,SS500102,Software Service - PMB - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,10.00,10.00,7.84,2.16,2.16
995,2023-24,Q2,01/11/27,SS500103,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.00,3.17,1.96,1.21,1.21
996,2023-24,Q2,01/12/27,SS500104,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.20,2.33,1.48,0.85,0.85
997,2023-24,Q2,01/13/27,SS500105,Software Service -PMB-DMS-AMC-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,1.25,0.83,0.42,0.42
998,2023-24,Q2,01/14/27,SS500108,Software Products- PMB-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,7.22,7.03,0.19,0.19
999,2023-24,Q2,01/15/27,SS500112,Software Service - PMB XBRL-Misc -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,39.58,0.00,39.58,39.58
1000,2023-24,Q2,01/16/27,SS300328,Software Service -PMB-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.00,,5.91,-5.91,-5.91
1001,2023-24,Q2,01/17/27,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.52,3.58,2.00,1.58,1.58
1002,2023-24,Q2,01/18/27,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,28.74,24.42,4.31,4.31
1003,2023-24,Q2,01/19/27,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,6.00,7.69,5.58,2.12,2.12
1004,2023-24,Q2,01/20/27,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,30.10,53.17,37.54,15.63,15.63
1005,2023-24,Q2,01/21/27,SS400308,Software Service -PMB-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,6.83,3.94,2.89,2.89
1006,2023-24,Q2,01/22/27,SS400312,Software Service -PMB-VGT Load Pumping,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.00,8.80,3.49,5.31,5.31
1007,2023-24,Q2,01/23/27,SS400322,Software Services-PMB (BKC)-New Batch ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,102.45,80.00,42.75,37.25,37.25
1008,2023-24,Q2,01/24/27,SS400325,Software Services-PMB DWH PM Office,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,3.40,2.53,0.87,0.87
1009,2023-24,Q2,01/25/27,RP100001,RPA - PMB - Robotic Automation,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,27.12,21.69,5.43,5.43
1010,2023-24,Q2,01/26/27,RP100009,RPA - LIB-Automation Licence,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,,0.67,-0.67,-0.67
1011,2023-24,Q2,01/27/27,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.00,5.00,1.53,3.47,3.47
1012,2023-24,Q2,01/28/27,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,11.20,4.02,6.86,-2.84,-2.84
1013,2023-24,Q2,01/29/27,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.20,3.23,1.32,1.91,1.91
1014,2023-24,Q2,01/30/27,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,5.00,2.21,2.23,-0.03,-0.03
1015,2023-24,Q2,01/31/27,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.90,-0.90,-0.90
1016,2023-24,Q2,02/01/27,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.40,2.07,2.03,0.04,0.04
1017,2023-24,Q2,02/02/27,SS300305,Software Service -PMB-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.60,-0.60,-0.60
1018,2023-24,Q2,02/03/27,SS400305,Software Service -PMB-SnowFlake Migration,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,3.00,8.33,2.55,5.78,5.78
1019,2023-24,Q2,02/04/27,CC400037,Customer Care Services - NOW Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,4.01,0.00,4.01,4.01
1020,2023-24,Q2,02/05/27,CC400041,Customer Care Services - NOW -PMB-MSM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,,0.22,-0.22,-0.22
1021,2023-24,Q2,02/06/27,SS300342,Software Service-PMB DevOps_McKiPMBy Squad /Trading ADM ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.00,,1.71,-1.71,-1.71
1022,2023-24,Q2,02/07/27,SS300343,Software Service-PMB IFSC -VGT Development,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.00,,0.94,-0.94,-0.94
1023,2023-24,Q2,02/08/27,IM300052,IMS - PMB - Stratus MMC Services,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,87.97,69.12,18.85,18.85
1024,2023-24,Q2,02/09/27,IM300091,IMS- PMB- Co-Location Project,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,60.84,178.04,29.96,148.08,148.08
1025,2023-24,Q2,02/10/27,IM400212,IMS-PMB-BCP,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,85.87,113.02,61.91,51.11,51.11
1026,2023-24,Q2,02/11/27,IM400216,IMS-PMB-Incident Manager,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.00,7.18,5.18,2.00,2.00
1027,2023-24,Q2,02/12/27,IM400218,IMS-PMB-Project Management (PMO),PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.00,1.94,2.36,-0.41,-0.41
1028,2023-24,Q2,02/13/27,IM400223,IMS-PMB -Trading OFS Team,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,3.64,2.42,1.23,1.23
1029,2023-24,Q2,02/14/27,IM400224,IMS-PMB_Infra & OA Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.00,6.95,3.82,3.12,3.12
1030,2023-24,Q2,02/15/27,IM400225,IMS-PMB- BCP_Chennai,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,7.00,13.21,3.99,9.21,9.21
1031,2023-24,Q2,02/16/27,IM400226,IMS - PMB - Stratus T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,13.00,21.53,11.83,9.70,9.70
1032,2023-24,Q2,02/17/27,IC400001,ICS - PMB (BKC) - New Batch,PMB,ICS,Digital,Project,IND,PMBIT-IND-SA,21.00,23.58,6.77,16.81,16.81
1033,2023-24,Q2,02/18/27,IC400002,ICS - PMB BCP (Chennai)-New Batch,PMB,ICS,Digital,Project,IND,PMBIT-IND-SA,48.90,34.40,18.29,16.11,16.11
1034,2023-24,Q2,02/19/27,IC400004,ICS - PMB Extranet Revamp,PMB,ICS,Digital,Project,IND,PMBIT-IND-SA,1.00,1.53,0.31,1.23,1.23
1035,2023-24,Q2,02/20/27,IS400003,ISRC - PMB,PMB,ISRC,Digital,Project,IND,PMBIT-IND-SA,,27.24,18.04,9.21,9.21
1036,2023-24,Q2,02/21/27,SS400224,Software Services - PMB Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,47.00,82.59,46.54,36.06,36.06
1037,2023-24,Q2,02/22/27,SS400250,Software Services - PMB -Trading Test Environment Management,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,16.00,22.72,11.69,11.03,11.03
1038,2023-24,Q2,02/23/27,SS400283,Software Service - PMB-PSM & Epsilon,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,22.55,41.11,25.41,15.69,15.69
1039,2023-24,Q2,02/24/27,CC400050,Customer Care Services - PMB-DC,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,8.84,5.25,3.31,1.94,1.94
1040,2023-24,Q2,02/25/27,CC400051,Customer Care Services - PMB -Helpdesk Operation Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,82.48,57.80,34.74,23.06,23.06
1041,2023-24,Q2,02/26/27,ST400179,Software Testing-LIB-T&M,LIB,PSG-Non PMB,Digital,Project,IND,PMBIT-IND-SA,99.86,113.77,53.40,60.36,60.36
1042,2023-24,Q2,02/27/27,SS400332,Software Services-PMB -Algo Trading MLOps,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,1.08,0.56,0.52,0.52
1043,2023-24,Q2,02/28/27,SS400336,Software Services-PMB -ExtraNet T&M,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.26,4.18,4.78,-0.60,-0.60
1044,2023-24,Q2,03/01/27,SS400337,Software Service - PMB-PSM_Managed T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,7.00,15.00,5.57,9.43,9.43
1045,2023-24,Q2,03/02/27,SS400339,Software Service - PMB-Enterprise Applications support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,31.00,35.59,21.09,14.50,14.50
1046,2023-24,Q2,03/03/27,SS400340,Software Service - PMB- Contract Generation AMC Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,8.13,12.90,9.41,3.50,3.50
1047,2023-24,Q2,03/04/27,SS400342,Software Service -PMB -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,21.22,45.83,26.72,19.11,19.11
1048,2023-24,Q2,03/05/27,SS400344,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,14.26,12.93,1.32,1.32
1049,2023-24,Q2,03/06/27,SS400345,Software Service-PMB-Volume Gen. Onsite Support,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,1.03,2.18,0.84,1.34,1.34
1050,2023-24,Q2,03/07/27,SS400347,Software Service-PMB Indices -Website Mtns & Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.40,5.16,2.74,2.41,2.41
1051,2023-24,Q2,03/08/27,SS400348,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.00,6.35,2.49,3.86,3.86
1052,2023-24,Q2,03/09/27,SS400349,Software Service - PMB - PPMS T&M,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,,1.15,0.00,1.15,1.15
1053,2023-24,Q2,03/10/27,SS400350,Software Service - PMB- Document Management System T&M,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,,1.23,0.00,1.23,1.23
1054,2023-24,Q2,03/11/27,SS400046,Software Services - T&M - PMB - Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,142.93,278.74,143.74,135.00,135.00
1055,2023-24,Q2,03/12/27,SS400249,Software Services - PMB IFSC Gift City Trading Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,45.00,83.01,51.03,31.98,31.98
1056,2023-24,Q2,03/13/27,SS400303,Software Service -PMB-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,2.00,4.73,1.77,2.96,2.96
1057,2023-24,Q2,03/14/27,ST400176,Software Testing - T&M - PMB - BAT,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.00,4.84,2.79,2.05,2.05
1058,2023-24,Q2,03/15/27,ST400204,Software Testing- PMB -Web Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,5.35,9.58,2.14,7.44,7.44
1059,2023-24,Q2,03/16/27,ST400211,Software Testing-PMB -MF Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,3.84,1.26,2.58,2.58
1060,2023-24,Q2,03/17/27,SS500102,Software Service - PMB - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,10.00,26.27,7.42,18.85,18.85
1061,2023-24,Q2,03/18/27,SS500103,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.15,3.17,2.35,0.82,0.82
1062,2023-24,Q2,03/19/27,SS500104,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.20,2.33,1.44,0.89,0.89
1063,2023-24,Q2,03/20/27,SS500105,Software Service -PMB-DMS-AMC-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,1.25,0.81,0.44,0.44
1064,2023-24,Q2,03/21/27,SS500108,Software Products- PMB-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,6.99,6.81,0.18,0.18
1065,2023-24,Q2,03/22/27,SS500112,Software Service - PMB XBRL-Misc -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,7.92,0.00,7.92,7.92
1066,2023-24,Q2,03/23/27,SS300328,Software Service -PMB-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.15,,6.17,-6.17,-6.17
1067,2023-24,Q2,03/24/27,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,-14.19,1.96,-16.15,-16.15
1068,2023-24,Q2,03/25/27,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,28.74,24.11,4.63,4.63
1069,2023-24,Q2,03/26/27,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,-0.20,-2.52,2.57,-5.09,-5.09
1070,2023-24,Q2,03/27/27,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,33.14,64.00,37.51,26.49,26.49
1071,2023-24,Q2,03/28/27,SS400308,Software Service -PMB-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,-1.39,0.02,-1.41,-1.41
1072,2023-24,Q2,03/29/27,SS400312,Software Service -PMB-VGT Load Pumping,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.00,-30.63,3.26,-33.90,-33.90
1073,2023-24,Q2,03/30/27,SS400322,Software Services-PMB (BKC)-New Batch ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,99.40,76.80,39.29,37.51,37.51
1074,2023-24,Q2,03/31/27,SS400325,Software Services-PMB DWH PM Office,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,3.75,2.32,1.42,1.42
1075,2023-24,Q2,04/01/27,RP100001,RPA - PMB - Robotic Automation,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,,0.61,-0.61,-0.61
1076,2023-24,Q2,04/02/27,RP100009,RPA - LIB-Automation Licence,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,3.58,3.93,-0.35,-0.35
1077,2023-24,Q2,04/03/27,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.00,2.50,1.45,1.05,1.05
1078,2023-24,Q2,04/04/27,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,11.20,-3.55,6.43,-9.98,-9.98
1079,2023-24,Q2,04/05/27,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.20,3.20,1.21,1.99,1.99
1080,2023-24,Q2,04/06/27,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,5.00,2.21,1.96,0.25,0.25
1081,2023-24,Q2,04/07/27,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.89,-0.89,-0.89
1082,2023-24,Q2,04/08/27,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.40,2.00,1.96,0.04,0.04
1083,2023-24,Q2,04/09/27,SS300305,Software Service -PMB-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,1.90,-1.90,-1.90
1084,2023-24,Q2,04/10/27,SS400305,Software Service -PMB-SnowFlake Migration,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,3.00,8.33,2.36,5.97,5.97
1085,2023-24,Q2,04/11/27,CC400037,Customer Care Services - NOW Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,2.52,0.00,2.52,2.52
1086,2023-24,Q2,04/12/27,CC400041,Customer Care Services - NOW -PMB-MSM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,,0.01,-0.01,-0.01
1087,2023-24,Q2,04/13/27,SS300342,Software Service-PMB DevOps_McKiPMBy Squad /Trading ADM ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.40,29.56,5.56,24.00,24.00
1088,2023-24,Q2,04/14/27,SS300343,Software Service-PMB IFSC -VGT Development,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.00,,0.89,-0.89,-0.89
1089,2023-24,Q2,04/15/27,IM300052,IMS - PMB - Stratus MMC Services,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,87.97,74.03,13.94,13.94
1090,2023-24,Q2,04/16/27,IM300091,IMS- PMB- Co-Location Project,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,61.87,178.04,29.30,148.74,148.74
1091,2023-24,Q2,04/17/27,IM400212,IMS-PMB-BCP,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,85.23,199.65,56.66,142.98,142.98
1092,2023-24,Q2,04/18/27,IM400216,IMS-PMB-Incident Manager,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.00,-23.84,4.78,-28.62,-28.62
1093,2023-24,Q2,04/19/27,IM400218,IMS-PMB-Project Management (PMO),PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,-3.88,1.67,-5.55,-5.55
1094,2023-24,Q2,04/20/27,IM400223,IMS-PMB -Trading OFS Team,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.34,-18.08,2.69,-20.77,-20.77
1095,2023-24,Q2,04/21/27,IM400224,IMS-PMB_Infra & OA Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,3.00,7.09,3.48,3.61,3.61
1096,2023-24,Q2,04/22/27,IM400225,IMS-PMB- BCP_Chennai,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,14.47,12.47,7.26,5.21,5.21
1097,2023-24,Q2,04/23/27,IM400226,IMS - PMB - Stratus T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,13.00,21.53,12.10,9.43,9.43
1098,2023-24,Q2,04/24/27,IC400001,ICS - PMB (BKC) - New Batch,PMB,ICS,Digital,Project,IND,PMBIT-IND-SA,20.33,-17.60,5.81,-23.41,-23.41
1099,2023-24,Q2,04/25/27,IC400002,ICS - PMB BCP (Chennai)-New Batch,PMB,ICS,Digital,Project,IND,PMBIT-IND-SA,47.33,36.87,16.01,20.86,20.86
1100,2023-24,Q2,04/26/27,IC400003,ICS - PMB Data Room,PMB,ICS,Digital,Project,IND,PMBIT-IND-SA,,,0.01,-0.01,-0.01
1101,2023-24,Q2,04/27/27,IC400004,ICS - PMB Extranet Revamp,PMB,ICS,Digital,Project,IND,PMBIT-IND-SA,1.00,1.64,0.26,1.38,1.38
1102,2023-24,Q2,04/28/27,IS400003,ISRC - PMB,PMB,ISRC,Digital,Project,IND,PMBIT-IND-SA,,32.97,27.20,5.77,5.77
1103,2023-24,Q2,04/29/27,SS400224,Software Services - PMB Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,47.77,82.25,43.84,38.41,38.41
1104,2023-24,Q2,04/30/27,SS400250,Software Services - PMB -Trading Test Environment Management,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,16.00,21.05,10.56,10.49,10.49
1105,2023-24,Q2,05/01/27,SS400283,Software Service - PMB-PSM & Epsilon,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,21.00,32.84,21.47,11.37,11.37
1106,2023-24,Q2,05/02/27,CC400050,Customer Care Services - PMB-DC,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,11.00,16.46,3.70,12.75,12.75
1107,2023-24,Q2,05/03/27,CC400051,Customer Care Services - PMB -Helpdesk Operation Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,77.64,51.63,31.81,19.82,19.82
1108,2023-24,Q2,05/04/27,ST400179,Software Testing-LIB-T&M,LIB,PSG-Non PMB,Digital,Project,IND,PMBIT-IND-SA,101.68,94.68,50.86,43.82,43.82
1109,2023-24,Q2,05/05/27,SS400332,Software Services-PMB -Algo Trading MLOps,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,1.18,0.35,0.83,0.83
1110,2023-24,Q2,05/06/27,SS400336,Software Services-PMB -ExtraNet T&M,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.00,3.53,5.30,-1.77,-1.77
1111,2023-24,Q2,05/07/27,SS400337,Software Service - PMB-PSM_Managed T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,7.00,15.00,6.02,8.98,8.98
1112,2023-24,Q2,05/08/27,SS400339,Software Service - PMB-Enterprise Applications support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,30.50,-171.56,20.52,-192.08,-192.08
1113,2023-24,Q2,05/09/27,SS400340,Software Service - PMB- Contract Generation AMC Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,8.00,12.45,9.30,3.15,3.15
1114,2023-24,Q2,05/10/27,SS400342,Software Service -PMB -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,21.10,48.30,26.14,22.17,22.17
1115,2023-24,Q2,05/11/27,SS400344,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,14.26,12.93,1.32,1.32
1116,2023-24,Q2,05/12/27,SS400345,Software Service-PMB-Volume Gen. Onsite Support,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,1.00,1.49,0.73,0.75,0.75
1117,2023-24,Q2,05/13/27,SS400347,Software Service-PMB Indices -Website Mtns & Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.40,5.16,2.59,2.57,2.57
1118,2023-24,Q2,05/14/27,SS400348,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.43,6.35,2.15,4.20,4.20
1119,2023-24,Q2,05/15/27,SS400349,Software Service - PMB - PPMS T&M,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,,1.04,0.00,1.04,1.04
1120,2023-24,Q2,05/16/27,SS400350,Software Service - PMB- Document Management System T&M,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,,1.13,0.00,1.13,1.13
1121,2023-24,Q2,05/17/27,SS400353,Software Service - PMB-Technology Operations Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,550.28,0.00,550.28,550.28
1122,2023-24,Q2,05/18/27,SS400354,Software Service-PMB-Log Aggregator & Security Ana.Platform,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,0.17,,0.00,0.00,0.00
1123,2023-24,Q2,05/19/27,SS400046,Software Services - T&M - PMB - Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,140.78,238.74,135.21,103.52,103.52
1124,2023-24,Q2,05/20/27,SS400249,Software Services - PMB IFSC Gift City Trading Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,52.11,48.14,52.60,-4.46,-4.46
1125,2023-24,Q2,05/21/27,SS400303,Software Service -PMB-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,2.00,3.89,1.68,2.21,2.21
1126,2023-24,Q2,05/22/27,ST400176,Software Testing - T&M - PMB - BAT,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.00,-2.33,2.63,-4.96,-4.96
1127,2023-24,Q2,05/23/27,ST400204,Software Testing- PMB -Web Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,5.00,-44.87,1.83,-46.69,-46.69
1128,2023-24,Q2,05/24/27,ST400211,Software Testing-PMB -MF Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,3.42,1.18,2.24,2.24
1129,2023-24,Q3,05/25/27,SS500102,Software Service - PMB - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,10.94,12.71,8.72,3.99,3.99
1130,2023-24,Q3,05/26/27,SS500103,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.90,3.17,3.19,-0.01,-0.01
1131,2023-24,Q3,05/27/27,SS500104,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.20,2.33,1.53,0.80,0.80
1132,2023-24,Q3,05/28/27,SS500105,Software Service -PMB-DMS-AMC-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,1.25,0.84,0.41,0.41
1133,2023-24,Q3,05/29/27,SS500108,Software Products- PMB-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,7.22,7.03,0.19,0.19
1134,2023-24,Q3,05/30/27,SS500112,Software Service - PMB XBRL-Misc -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,7.92,0.00,7.92,7.92
1135,2023-24,Q3,05/31/27,SS300328,Software Service -PMB-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.25,,6.85,-6.85,-6.85
1136,2023-24,Q3,06/01/27,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,1.45,20.81,1.20,19.61,19.61
1137,2023-24,Q3,06/02/27,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,,28.74,22.74,6.00,6.00
1138,2023-24,Q3,06/03/27,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.00,5.98,4.34,1.64,1.64
1139,2023-24,Q3,06/04/27,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,34.77,52.17,43.38,8.79,8.79
